"Years","Accumulation","District","Value"
"1982","ND","Chibuto",103.54
"1983","ND","Chibuto",154.81
"1984","ND","Chibuto",175.37
"1985","ND","Chibuto",173.97
"1986","ND","Chibuto",150.17
"1987","ND","Chibuto",189.81
"1988","ND","Chibuto",67.05
"1989","ND","Chibuto",261.39
"1990","ND","Chibuto",169.95
"1991","ND","Chibuto",83.36
"1992","ND","Chibuto",289.96
"1993","ND","Chibuto",207.31
"1994","ND","Chibuto",178.64
"1995","ND","Chibuto",141.13
"1996","ND","Chibuto",92.06
"1997","ND","Chibuto",138.21
"1998","ND","Chibuto",340.3
"1999","ND","Chibuto",177.96
"2000","ND","Chibuto",189.3
"2001","ND","Chibuto",343.22
"2002","ND","Chibuto",151.74
"2003","ND","Chibuto",98.54
"2004","ND","Chibuto",123.25
"2005","ND","Chibuto",198.3
"2006","ND","Chibuto",205.09
"2007","ND","Chibuto",284.91
"2008","ND","Chibuto",211.28
"2009","ND","Chibuto",105.3
"2010","ND","Chibuto",219.09
"2011","ND","Chibuto",147.2
"2012","ND","Chibuto",143.56
"2013","ND","Chibuto",180.44
"2014","ND","Chibuto",169.75
"2015","ND","Chibuto",91.88
"2016","ND","Chibuto",242.7
"2017","ND","Chibuto",84.89
"2018","ND","Chibuto",120.99
"2019","ND","Chibuto",93.43
"2020","ND","Chibuto",194.32
"1982","DJ","Chibuto",130.21
"1983","DJ","Chibuto",156.1
"1984","DJ","Chibuto",312.68
"1985","DJ","Chibuto",298.35
"1986","DJ","Chibuto",187.92
"1987","DJ","Chibuto",189.08
"1988","DJ","Chibuto",202.91
"1989","DJ","Chibuto",58.24
"1990","DJ","Chibuto",287.58
"1991","DJ","Chibuto",205.11
"1992","DJ","Chibuto",111.17
"1993","DJ","Chibuto",235.83
"1994","DJ","Chibuto",246.69
"1995","DJ","Chibuto",161.55
"1996","DJ","Chibuto",357.5
"1997","DJ","Chibuto",265.15
"1998","DJ","Chibuto",272.86
"1999","DJ","Chibuto",404.6
"2000","DJ","Chibuto",359.46
"2001","DJ","Chibuto",103.76
"2002","DJ","Chibuto",242.82
"2003","DJ","Chibuto",96.24
"2004","DJ","Chibuto",168.93
"2005","DJ","Chibuto",140.11
"2006","DJ","Chibuto",279.11
"2007","DJ","Chibuto",203.35
"2008","DJ","Chibuto",288.82
"2009","DJ","Chibuto",240.55
"2010","DJ","Chibuto",122.33
"2011","DJ","Chibuto",503.75
"2012","DJ","Chibuto",153
"2013","DJ","Chibuto",524.01
"2014","DJ","Chibuto",257.85
"2015","DJ","Chibuto",194.85
"2016","DJ","Chibuto",75.68
"2017","DJ","Chibuto",444.17
"2018","DJ","Chibuto",67.24
"2019","DJ","Chibuto",204.51
"2020","DJ","Chibuto",184.27
"2021","DJ","Chibuto",388.94
"1981","JF","Guija",283.27
"1982","JF","Guija",155.04
"1983","JF","Guija",133.73
"1984","JF","Guija",260.09
"1985","JF","Guija",295.32
"1986","JF","Guija",185.04
"1987","JF","Guija",115.51
"1988","JF","Guija",123.78
"1989","JF","Guija",129.14
"1990","JF","Guija",256.05
"1991","JF","Guija",198.37
"1992","JF","Guija",118.53
"1993","JF","Guija",205.3
"1994","JF","Guija",187.87
"1995","JF","Guija",107.65
"1996","JF","Guija",367.37
"1997","JF","Guija",305.9
"1998","JF","Guija",258.59
"1999","JF","Guija",374.2
"2000","JF","Guija",597.12
"2001","JF","Guija",245.01
"2002","JF","Guija",58.5
"2003","JF","Guija",195.05
"2004","JF","Guija",247.05
"2005","JF","Guija",130.27
"2006","JF","Guija",232.55
"2007","JF","Guija",113.61
"2008","JF","Guija",99.91
"2009","JF","Guija",182.65
"2010","JF","Guija",155.22
"2011","JF","Guija",330.02
"2012","JF","Guija",124.21
"2013","JF","Guija",437.12
"2014","JF","Guija",167.37
"2015","JF","Guija",149.63
"2016","JF","Guija",100.11
"2017","JF","Guija",379.88
"2018","JF","Guija",256.51
"2019","JF","Guija",315.49
"2020","JF","Guija",268.07
"2021","JF","Guija",516.93
"1981","FM","Guija",251.36
"1982","FM","Guija",136.07
"1983","FM","Guija",86.89
"1984","FM","Guija",147.24
"1985","FM","Guija",231.24
"1986","FM","Guija",90.59
"1987","FM","Guija",104.22
"1988","FM","Guija",155.51
"1989","FM","Guija",162.69
"1990","FM","Guija",184.32
"1991","FM","Guija",232.48
"1992","FM","Guija",59.63
"1993","FM","Guija",268.16
"1994","FM","Guija",75.09
"1995","FM","Guija",137.82
"1996","FM","Guija",178.88
"1997","FM","Guija",226.07
"1998","FM","Guija",77.1
"1999","FM","Guija",295.91
"2000","FM","Guija",540.87
"2001","FM","Guija",288.84
"2002","FM","Guija",66.79
"2003","FM","Guija",223.29
"2004","FM","Guija",328.7
"2005","FM","Guija",123.78
"2006","FM","Guija",265.66
"2007","FM","Guija",133.7
"2008","FM","Guija",66.02
"2009","FM","Guija",118.74
"2010","FM","Guija",100.78
"2011","FM","Guija",76.38
"2012","FM","Guija",131.8
"2013","FM","Guija",78.4
"2014","FM","Guija",236.98
"2015","FM","Guija",149.71
"2016","FM","Guija",125.39
"2017","FM","Guija",217.16
"2018","FM","Guija",315.62
"2019","FM","Guija",281.25
"2020","FM","Guija",161.72
"2021","FM","Guija",312.24
"1981","MA","Guija",94.29
"1982","MA","Guija",80.4
"1983","MA","Guija",68.01
"1984","MA","Guija",133.28
"1985","MA","Guija",121.64
"1986","MA","Guija",113.14
"1987","MA","Guija",96.83
"1988","MA","Guija",97.57
"1989","MA","Guija",80.78
"1990","MA","Guija",116.24
"1991","MA","Guija",164.03
"1992","MA","Guija",42.2
"1993","MA","Guija",141.45
"1994","MA","Guija",68.16
"1995","MA","Guija",101.68
"1996","MA","Guija",140.44
"1997","MA","Guija",126.97
"1998","MA","Guija",39.63
"1999","MA","Guija",87.72
"2000","MA","Guija",271.95
"2001","MA","Guija",143.95
"2002","MA","Guija",68.34
"2003","MA","Guija",113.09
"2004","MA","Guija",258.92
"2005","MA","Guija",113.03
"2006","MA","Guija",225.06
"2007","MA","Guija",128.31
"2008","MA","Guija",68.08
"2009","MA","Guija",66.49
"2010","MA","Guija",135.55
"2011","MA","Guija",72.16
"2012","MA","Guija",95.11
"2013","MA","Guija",107.73
"2014","MA","Guija",222.93
"2015","MA","Guija",85.43
"2016","MA","Guija",103.8
"2017","MA","Guija",91.96
"2018","MA","Guija",107.14
"2019","MA","Guija",90.7
"2020","MA","Guija",69.65
"2021","MA","Guija",62.33
"1981","ON","Guija",200.16
"1982","ON","Guija",55.81
"1983","ON","Guija",99.42
"1984","ON","Guija",132.32
"1985","ON","Guija",138.39
"1986","ON","Guija",71.97
"1987","ON","Guija",61.47
"1988","ON","Guija",68.18
"1989","ON","Guija",147.77
"1990","ON","Guija",56.52
"1991","ON","Guija",61.74
"1992","ON","Guija",117.47
"1993","ON","Guija",133.38
"1994","ON","Guija",76.37
"1995","ON","Guija",96.77
"1996","ON","Guija",56.41
"1997","ON","Guija",107.9
"1998","ON","Guija",119.65
"1999","ON","Guija",164.06
"2000","ON","Guija",165.02
"2001","ON","Guija",161.89
"2002","ON","Guija",152.81
"2003","ON","Guija",123.59
"2004","ON","Guija",126.96
"2005","ON","Guija",98.48
"2006","ON","Guija",88.03
"2007","ON","Guija",100.35
"2008","ON","Guija",102.18
"2009","ON","Guija",96.32
"2010","ON","Guija",104.6
"2011","ON","Guija",116.3
"2012","ON","Guija",127.52
"2013","ON","Guija",106.91
"2014","ON","Guija",57.8
"2015","ON","Guija",81.5
"2016","ON","Guija",88.63
"2017","ON","Guija",74.05
"2018","ON","Guija",68.32
"2019","ON","Guija",105.93
"2020","ON","Guija",107.53
"1981","ND","Guija",236.43
"1982","ND","Guija",104.69
"1983","ND","Guija",149.15
"1984","ND","Guija",175.61
"1985","ND","Guija",164.36
"1986","ND","Guija",111.05
"1987","ND","Guija",180.23
"1988","ND","Guija",66.98
"1989","ND","Guija",236.39
"1990","ND","Guija",176.17
"1991","ND","Guija",81.36
"1992","ND","Guija",301.1
"1993","ND","Guija",217.95
"1994","ND","Guija",187.93
"1995","ND","Guija",149.85
"1996","ND","Guija",62.8
"1997","ND","Guija",149.32
"1998","ND","Guija",311.4
"1999","ND","Guija",186.22
"2000","ND","Guija",204.6
"2001","ND","Guija",339.75
"2002","ND","Guija",149.09
"2003","ND","Guija",103.04
"2004","ND","Guija",117.26
"2005","ND","Guija",179.25
"2006","ND","Guija",197.03
"2007","ND","Guija",252.78
"2008","ND","Guija",226.27
"2009","ND","Guija",113.93
"2010","ND","Guija",228.18
"2011","ND","Guija",135.14
"2012","ND","Guija",148.37
"2013","ND","Guija",186.44
"2014","ND","Guija",169.32
"2015","ND","Guija",94.37
"2016","ND","Guija",254.22
"2017","ND","Guija",81.62
"2018","ND","Guija",134.92
"2019","ND","Guija",90.15
"2020","ND","Guija",166.76
"1982","DJ","Guija",137.93
"1983","DJ","Guija",162.36
"1984","DJ","Guija",280.39
"1985","DJ","Guija",231.33
"1986","DJ","Guija",221.38
"1987","DJ","Guija",151.69
"1988","DJ","Guija",174.51
"1989","DJ","Guija",49.78
"1990","DJ","Guija",279.07
"1991","DJ","Guija",240.64
"1992","DJ","Guija",122.22
"1993","DJ","Guija",232.37
"1994","DJ","Guija",259.28
"1995","DJ","Guija",168.27
"1996","DJ","Guija",350.77
"1997","DJ","Guija",207.26
"1998","DJ","Guija",276.95
"1999","DJ","Guija",360.81
"2000","DJ","Guija",336.81
"2001","DJ","Guija",110.9
"2002","DJ","Guija",231.02
"2003","DJ","Guija",92.09
"2004","DJ","Guija",166.39
"2005","DJ","Guija",123.15
"2006","DJ","Guija",251.77
"2007","DJ","Guija",161.5
"2008","DJ","Guija",250.4
"2009","DJ","Guija",249.54
"2010","DJ","Guija",127.74
"2011","DJ","Guija",430.45
"2012","DJ","Guija",137.5
"2013","DJ","Guija",500.98
"2014","DJ","Guija",249.36
"2015","DJ","Guija",191.97
"2016","DJ","Guija",87.97
"2017","DJ","Guija",408.62
"2018","DJ","Guija",54.4
"2019","DJ","Guija",183.25
"2020","DJ","Guija",157.48
"2021","DJ","Guija",351.16
"1981","JF","Changara",323.66
"1982","JF","Changara",411.94
"1983","JF","Changara",171.88
"1984","JF","Changara",280.77
"1985","JF","Changara",393.9
"1986","JF","Changara",427.22
"1987","JF","Changara",233.95
"1988","JF","Changara",380.48
"1989","JF","Changara",520.53
"1990","JF","Changara",400.48
"1991","JF","Changara",347.72
"1992","JF","Changara",96.89
"1993","JF","Changara",402.83
"1994","JF","Changara",206.82
"1995","JF","Changara",264.28
"1996","JF","Changara",403.99
"1997","JF","Changara",767.64
"1998","JF","Changara",363.22
"1999","JF","Changara",591.98
"2000","JF","Changara",512.42
"2001","JF","Changara",551.26
"2002","JF","Changara",204.74
"2003","JF","Changara",352.63
"2004","JF","Changara",371.37
"2005","JF","Changara",231.24
"2006","JF","Changara",329.62
"2007","JF","Changara",456.62
"2008","JF","Changara",289.74
"2009","JF","Changara",350.93
"2010","JF","Changara",443.68
"2011","JF","Changara",348.68
"2012","JF","Changara",362.53
"2013","JF","Changara",336.19
"2014","JF","Changara",463.65
"2015","JF","Changara",393.33
"2016","JF","Changara",165.14
"2017","JF","Changara",541.86
"2018","JF","Changara",415.17
"2019","JF","Changara",446.95
"2020","JF","Changara",401.36
"2021","JF","Changara",418.29
"1981","FM","Changara",256.19
"1982","FM","Changara",278.69
"1983","FM","Changara",167.06
"1984","FM","Changara",311.54
"1985","FM","Changara",310.74
"1986","FM","Changara",204.1
"1987","FM","Changara",65.35
"1988","FM","Changara",309.15
"1989","FM","Changara",340.72
"1990","FM","Changara",126.73
"1991","FM","Changara",270.51
"1992","FM","Changara",71.43
"1993","FM","Changara",231.53
"1994","FM","Changara",74.87
"1995","FM","Changara",71.96
"1996","FM","Changara",261.15
"1997","FM","Changara",528.6
"1998","FM","Changara",140.7
"1999","FM","Changara",288.39
"2000","FM","Changara",355.66
"2001","FM","Changara",570.83
"2002","FM","Changara",107.27
"2003","FM","Changara",293.21
"2004","FM","Changara",242.7
"2005","FM","Changara",51.37
"2006","FM","Changara",230.73
"2007","FM","Changara",238.98
"2008","FM","Changara",63.23
"2009","FM","Changara",149.73
"2010","FM","Changara",353.19
"2011","FM","Changara",70.46
"2012","FM","Changara",191.54
"2013","FM","Changara",108.22
"2014","FM","Changara",232.81
"2015","FM","Changara",157.03
"2016","FM","Changara",132.96
"2017","FM","Changara",305.56
"2018","FM","Changara",426.28
"2019","FM","Changara",219.52
"2020","FM","Changara",183.93
"2021","FM","Changara",199.8
"1981","MA","Changara",65.97
"1982","MA","Changara",34.85
"1983","MA","Changara",56.09
"1984","MA","Changara",112.85
"1985","MA","Changara",143.72
"1986","MA","Changara",47.82
"1987","MA","Changara",31.31
"1988","MA","Changara",134.55
"1989","MA","Changara",65.06
"1990","MA","Changara",29.67
"1991","MA","Changara",64.63
"1992","MA","Changara",71.2
"1993","MA","Changara",46.77
"1994","MA","Changara",26.41
"1995","MA","Changara",20.86
"1996","MA","Changara",52.64
"1997","MA","Changara",90.67
"1998","MA","Changara",43.78
"1999","MA","Changara",51.93
"2000","MA","Changara",110.67
"2001","MA","Changara",184.72
"2002","MA","Changara",57.84
"2003","MA","Changara",149.05
"2004","MA","Changara",90.7
"2005","MA","Changara",20.02
"2006","MA","Changara",103.48
"2007","MA","Changara",57.42
"2008","MA","Changara",46.59
"2009","MA","Changara",86.42
"2010","MA","Changara",30.18
"2011","MA","Changara",69.83
"2012","MA","Changara",87.44
"2013","MA","Changara",30.81
"2014","MA","Changara",31.14
"2015","MA","Changara",46.8
"2016","MA","Changara",87.52
"2017","MA","Changara",113.57
"2018","MA","Changara",71.32
"2019","MA","Changara",89.33
"2020","MA","Changara",21.96
"2021","MA","Changara",71.97
"1981","ON","Changara",56.25
"1982","ON","Changara",50.42
"1983","ON","Changara",29.9
"1984","ON","Changara",42.75
"1985","ON","Changara",85.53
"1986","ON","Changara",74.59
"1987","ON","Changara",36.99
"1988","ON","Changara",73.28
"1989","ON","Changara",75.63
"1990","ON","Changara",53.48
"1991","ON","Changara",62.55
"1992","ON","Changara",48.34
"1993","ON","Changara",87.67
"1994","ON","Changara",28.35
"1995","ON","Changara",34.13
"1996","ON","Changara",55.74
"1997","ON","Changara",88.22
"1998","ON","Changara",66.8
"1999","ON","Changara",48.8
"2000","ON","Changara",116.24
"2001","ON","Changara",51.63
"2002","ON","Changara",47.38
"2003","ON","Changara",18.32
"2004","ON","Changara",77.67
"2005","ON","Changara",57.61
"2006","ON","Changara",79.05
"2007","ON","Changara",66.26
"2008","ON","Changara",15.59
"2009","ON","Changara",42.62
"2010","ON","Changara",45.68
"2011","ON","Changara",62.63
"2012","ON","Changara",23.93
"2013","ON","Changara",42.69
"2014","ON","Changara",8.13
"2015","ON","Changara",26.63
"2016","ON","Changara",60.18
"2017","ON","Changara",75.26
"2018","ON","Changara",61.99
"2019","ON","Changara",64.82
"2020","ON","Changara",38.49
"1981","ND","Changara",159.76
"1982","ND","Changara",149.52
"1983","ND","Changara",189.1
"1984","ND","Changara",244.47
"1985","ND","Changara",349.44
"1986","ND","Changara",200.86
"1987","ND","Changara",179.06
"1988","ND","Changara",115.28
"1989","ND","Changara",288.6
"1990","ND","Changara",159.55
"1991","ND","Changara",128.76
"1992","ND","Changara",191.2
"1993","ND","Changara",171.22
"1994","ND","Changara",167.49
"1995","ND","Changara",294.64
"1996","ND","Changara",226.64
"1997","ND","Changara",257.81
"1998","ND","Changara",329.28
"1999","ND","Changara",97.73
"2000","ND","Changara",242.84
"2001","ND","Changara",285.05
"2002","ND","Changara",144.83
"2003","ND","Changara",134.93
"2004","ND","Changara",338.17
"2005","ND","Changara",304.9
"2006","ND","Changara",213.2
"2007","ND","Changara",353.97
"2008","ND","Changara",146.53
"2009","ND","Changara",236.23
"2010","ND","Changara",217.05
"2011","ND","Changara",187.95
"2012","ND","Changara",190.6
"2013","ND","Changara",155.07
"2014","ND","Changara",272.13
"2015","ND","Changara",136.48
"2016","ND","Changara",237.38
"2017","ND","Changara",176.61
"2018","ND","Changara",221.42
"2019","ND","Changara",132.64
"2020","ND","Changara",249.7
"1982","DJ","Changara",272.29
"1983","DJ","Changara",173.06
"1984","DJ","Changara",243.53
"1985","DJ","Changara",423.48
"1986","DJ","Changara",519.88
"1987","DJ","Changara",343.48
"1988","DJ","Changara",344.76
"1989","DJ","Changara",308.22
"1990","DJ","Changara",515.18
"1991","DJ","Changara",235.08
"1992","DJ","Changara",160.28
"1993","DJ","Changara",344.85
"1994","DJ","Changara",241.11
"1995","DJ","Changara",367.77
"1996","DJ","Changara",460.53
"1997","DJ","Changara",484.25
"1998","DJ","Changara",445.39
"1999","DJ","Changara",609.14
"2000","DJ","Changara",310.63
"2001","DJ","Changara",297.64
"2002","DJ","Changara",381.65
"2003","DJ","Changara",307.55
"2004","DJ","Changara",330.54
"2005","DJ","Changara",464.82
"2006","DJ","Changara",447.57
"2007","DJ","Changara",398.61
"2008","DJ","Changara",560.69
"2009","DJ","Changara",412.61
"2010","DJ","Changara",303.68
"2011","DJ","Changara",506.19
"2012","DJ","Changara",373.82
"2013","DJ","Changara",421.76
"2014","DJ","Changara",374.42
"2015","DJ","Changara",539.41
"2016","DJ","Changara",221.57
"2017","DJ","Changara",515.75
"2018","DJ","Changara",151.17
"2019","DJ","Changara",465.17
"2020","DJ","Changara",302.83
"2021","DJ","Changara",502.87
"1981","JF","Marara",291.87
"1982","JF","Marara",421.91
"1983","JF","Marara",189.96
"1984","JF","Marara",293.88
"1985","JF","Marara",300.56
"1986","JF","Marara",404.29
"1987","JF","Marara",252.55
"1988","JF","Marara",367.1
"1989","JF","Marara",528.83
"1990","JF","Marara",387.81
"1991","JF","Marara",390.07
"1992","JF","Marara",107.44
"1993","JF","Marara",350.65
"1994","JF","Marara",195.14
"1995","JF","Marara",301.89
"1996","JF","Marara",420.14
"1997","JF","Marara",776.19
"1998","JF","Marara",361
"1999","JF","Marara",547.57
"2000","JF","Marara",480.09
"2001","JF","Marara",568.56
"2002","JF","Marara",218.17
"2003","JF","Marara",370.22
"2004","JF","Marara",352.12
"2005","JF","Marara",237.47
"2006","JF","Marara",356.17
"2007","JF","Marara",397.21
"2008","JF","Marara",267.83
"2009","JF","Marara",333.87
"2010","JF","Marara",490.21
"2011","JF","Marara",313.57
"2012","JF","Marara",371.15
"2013","JF","Marara",326.55
"2014","JF","Marara",426.15
"2015","JF","Marara",461.16
"2016","JF","Marara",166.24
"2017","JF","Marara",580.11
"2018","JF","Marara",345.24
"2019","JF","Marara",450.63
"2020","JF","Marara",378.09
"2021","JF","Marara",417.22
"1981","FM","Marara",250.73
"1982","FM","Marara",274.87
"1983","FM","Marara",180.1
"1984","FM","Marara",321.32
"1985","FM","Marara",263.64
"1986","FM","Marara",201.79
"1987","FM","Marara",61.97
"1988","FM","Marara",336.79
"1989","FM","Marara",413.45
"1990","FM","Marara",99.92
"1991","FM","Marara",294.22
"1992","FM","Marara",72.09
"1993","FM","Marara",162.36
"1994","FM","Marara",75.28
"1995","FM","Marara",79.64
"1996","FM","Marara",295.31
"1997","FM","Marara",555.69
"1998","FM","Marara",144.23
"1999","FM","Marara",286.54
"2000","FM","Marara",361.62
"2001","FM","Marara",604.08
"2002","FM","Marara",118.08
"2003","FM","Marara",299.87
"2004","FM","Marara",215.65
"2005","FM","Marara",43.4
"2006","FM","Marara",246.86
"2007","FM","Marara",216
"2008","FM","Marara",55.34
"2009","FM","Marara",164.55
"2010","FM","Marara",400.46
"2011","FM","Marara",60.49
"2012","FM","Marara",196.5
"2013","FM","Marara",93.22
"2014","FM","Marara",231.76
"2015","FM","Marara",166.44
"2016","FM","Marara",138.95
"2017","FM","Marara",353.1
"2018","FM","Marara",349.76
"2019","FM","Marara",237.69
"2020","FM","Marara",174.57
"2021","FM","Marara",197.87
"1981","MA","Marara",65.23
"1982","MA","Marara",27.27
"1983","MA","Marara",57.24
"1984","MA","Marara",105.25
"1985","MA","Marara",145.43
"1986","MA","Marara",61.34
"1987","MA","Marara",28.14
"1988","MA","Marara",139.99
"1989","MA","Marara",118.98
"1990","MA","Marara",16.19
"1991","MA","Marara",68.27
"1992","MA","Marara",67.87
"1993","MA","Marara",41.6
"1994","MA","Marara",27.62
"1995","MA","Marara",22.42
"1996","MA","Marara",46
"1997","MA","Marara",104.17
"1998","MA","Marara",51.85
"1999","MA","Marara",65.1
"2000","MA","Marara",112.37
"2001","MA","Marara",192.5
"2002","MA","Marara",55.66
"2003","MA","Marara",140.98
"2004","MA","Marara",92.33
"2005","MA","Marara",12.61
"2006","MA","Marara",111.62
"2007","MA","Marara",80.37
"2008","MA","Marara",40.99
"2009","MA","Marara",92.41
"2010","MA","Marara",26.37
"2011","MA","Marara",66.68
"2012","MA","Marara",99.53
"2013","MA","Marara",28.04
"2014","MA","Marara",36.68
"2015","MA","Marara",43.12
"2016","MA","Marara",89.5
"2017","MA","Marara",112.5
"2018","MA","Marara",69.62
"2019","MA","Marara",90.34
"2020","MA","Marara",16.33
"2021","MA","Marara",70.12
"1981","ON","Marara",40.8
"1982","ON","Marara",47.17
"1983","ON","Marara",27.53
"1984","ON","Marara",30.21
"1985","ON","Marara",105.29
"1986","ON","Marara",74.19
"1987","ON","Marara",28.82
"1988","ON","Marara",68.09
"1989","ON","Marara",70.45
"1990","ON","Marara",46.98
"1991","ON","Marara",71.32
"1992","ON","Marara",68.16
"1993","ON","Marara",91.73
"1994","ON","Marara",26.5
"1995","ON","Marara",44.48
"1996","ON","Marara",56.79
"1997","ON","Marara",93.5
"1998","ON","Marara",49.13
"1999","ON","Marara",45.44
"2000","ON","Marara",125.83
"2001","ON","Marara",53.88
"2002","ON","Marara",48.83
"2003","ON","Marara",13.68
"2004","ON","Marara",79.25
"2005","ON","Marara",53.38
"2006","ON","Marara",68.8
"2007","ON","Marara",53.64
"2008","ON","Marara",12.31
"2009","ON","Marara",53.81
"2010","ON","Marara",37.18
"2011","ON","Marara",54.89
"2012","ON","Marara",22.62
"2013","ON","Marara",37.27
"2014","ON","Marara",10.28
"2015","ON","Marara",33.85
"2016","ON","Marara",77.12
"2017","ON","Marara",76.54
"2018","ON","Marara",77.53
"2019","ON","Marara",74.37
